time,temp
2008-01-01,10.125
2008-01-02,9.375
2008-01-03,10.625
2008-01-04,11.125
2008-01-05,14.571428571428571
2008-01-06,14.125
2008-01-07,15.25
2008-01-08,18.875
2008-01-09,18.25
2008-01-10,16.625
2008-01-11,14.0
2008-01-12,12.5
2008-01-13,13.75
2008-01-14,14.0
2008-01-15,15.714285714285714
2008-01-16,18.142857142857142
2008-01-17,18.625
2008-01-18,16.142857142857142
2008-01-19,11.5
2008-01-20,11.0
2008-01-21,11.0
2008-01-22,9.25
2008-01-23,9.75
2008-01-24,12.25
2008-01-25,11.875
2008-01-26,11.125
2008-01-27,10.0
2008-01-28,9.5
2008-01-29,12.625
2008-01-30,10.625
2008-01-31,10.285714285714286
2008-02-01,9.857142857142858
2008-02-02,11.714285714285714
2008-02-03,13.625
2008-02-04,14.125
2008-02-05,12.0
2008-02-06,13.142857142857142
2008-02-07,13.571428571428571
2008-02-08,12.25
2008-02-09,11.75
2008-02-10,11.375
2008-02-11,11.75
2008-02-12,12.75
2008-02-13,13.5
2008-02-14,14.857142857142858
2008-02-15,16.0
2008-02-16,19.428571428571427
2008-02-17,18.125
2008-02-18,16.625
2008-02-19,15.571428571428571
2008-02-20,16.875
2008-02-21,18.25
2008-02-22,19.571428571428573
2008-02-23,21.8
2008-02-24,19.375
2008-02-25,18.375
2008-02-26,17.875
2008-02-27,18.375
2008-02-28,19.875
2008-02-29,20.5
2008-03-01,22.0
2008-03-02,23.0
2008-03-03,23.25
2008-03-04,23.0
2008-03-05,23.25
2008-03-06,25.428571428571427
2008-03-07,25.0
2008-03-08,24.75
2008-03-09,22.75
2008-03-10,23.0
2008-03-11,25.0
2008-03-12,24.857142857142858
2008-03-13,20.875
2008-03-14,22.25
2008-03-15,23.875
2008-03-16,25.0
2008-03-17,25.875
2008-03-18,27.5
2008-03-19,27.125
2008-03-20,25.25
2008-03-21,25.875
2008-03-22,25.428571428571427
2008-03-23,26.5
2008-03-24,24.875
2008-03-25,25.375
2008-03-26,26.875
2008-03-27,26.571428571428573
2008-03-28,29.0
2008-03-29,27.125
2008-03-30,27.625
2008-03-31,28.875
2008-04-01,24.875
2008-04-02,27.0
2008-04-03,22.75
2008-04-04,21.625
2008-04-05,22.0
2008-04-06,22.375
2008-04-07,25.25
2008-04-08,27.0
2008-04-09,28.5
2008-04-10,29.375
2008-04-11,28.666666666666668
2008-04-12,29.0
2008-04-13,28.714285714285715
