,p,q,AIC,BIC,HQIC
0,0,0,22612.185586704145,22623.87876665473,22616.4259028616
1,0,1,21260.985682592713,21278.525452518585,21267.3461568289
2,0,2,20880.020429035918,20903.40678893708,20888.50106135083
3,0,3,20718.919897512977,20748.152847389432,20729.520687906617
4,0,4,20672.027104975692,20707.10664482744,20684.74805344806
5,1,0,20586.860357778358,20604.40012770423,20593.220832014544
6,1,1,20587.13858813449,20610.524948035654,20595.619220449404
7,1,2,20582.763777636967,20611.996727513422,20593.364568030607
8,1,3,20580.906664946073,20615.98620479782,20593.62761341844
9,1,4,20574.30892368409,20615.23505351113,20589.150030235185
10,2,0,20587.354326905202,20610.740686806366,20595.834959220116
11,2,1,20586.429354573127,20615.662304449583,20597.030144966768
12,2,2,20566.966897277638,20602.046437129386,20579.687845750006
13,2,3,20568.70598780646,20609.6321176335,20583.547094357556
14,2,4,20570.691116624286,20617.463836426617,20587.652381254113
15,3,0,20583.520289939697,20612.753239816153,20594.121080333338
16,3,1,20567.24956317691,20602.329103028656,20579.970511649277
17,3,2,20571.10357967687,20612.02970950391,20585.944686227966
18,3,3,20570.10979083128,20616.88251063361,20587.071055461107
19,3,4,20572.64868642367,20625.267996201288,20591.730109132222
20,4,0,20583.367290579175,20618.446830430923,20596.088239051543
21,4,1,20568.755707612818,20609.681837439857,20583.596814163913
22,4,2,20570.655559339473,20617.428279141805,20587.6168239693
23,4,3,20572.81029657428,20625.4296063519,20591.891719282834
24,4,4,20570.323086099772,20628.788985852683,20591.524666887053
