Column1,p,q,AIC,BIC,HQIC
0,0,0,22612.185586704145,22623.87876665473,22616.4259028616
1,0,1,21260.985682592713,21278.525452518585,21267.3461568289
2,0,2,20880.020429036347,20903.40678893751,20888.50106135126
3,0,3,20718.919897512795,20748.15284738925,20729.520687906435
4,0,4,20672.02710497587,20707.106644827618,20684.74805344824
5,0,5,20636.424685991195,20677.350815818234,20651.26579254229
6,0,6,20617.279673261575,20664.052393063906,20634.2409378914
7,0,7,20615.269911649837,20667.889221427457,20634.35133435839
8,0,8,20607.01943470566,20665.48533445857,20628.22101549294
9,0,9,20601.876610531734,20666.189100259937,20625.198349397742
10,1,0,20586.860357778714,20604.400127704586,20593.2208320149
11,1,1,20587.13858813449,20610.524948035654,20595.619220449404
12,1,2,20582.763777646134,20611.99672752259,20593.364568039775
13,1,3,20580.906664946946,20615.986204798694,20593.627613419314
14,1,4,20574.30892374184,20615.23505356888,20589.150030292934
15,1,5,20575.697912666066,20622.470632468398,20592.659177295893
16,1,6,20574.923477249766,20627.542787027385,20594.00489995832
17,1,7,20573.5745687526,20632.04046850551,20594.77614953988
18,1,8,20575.42657839006,20639.739068118262,20598.748317256068
19,1,9,20576.000549748296,20646.15962945179,20601.442446693032
20,2,0,20587.354326905202,20610.740686806366,20595.834959220116
21,2,1,20586.429354573644,20615.6623044501,20597.030144967284
22,2,2,20566.96687936168,20602.046419213428,20579.68782783405
23,2,3,20568.705987901583,20609.632117728623,20583.54709445268
24,2,4,20570.69110134412,20617.46382114645,20587.652365973947
25,2,5,20571.703008625216,20624.322318402836,20590.78443133377
26,2,6,20573.11685535913,20631.582755112042,20594.318436146412
27,2,7,20575.16488415809,20639.477373886293,20598.4866230241
28,2,8,20577.177119595104,20647.3361992986,20602.61901653984
29,2,9,20576.182214646615,20652.1878843254,20603.744269670082
30,3,0,20583.520289939697,20612.753239816153,20594.121080333338
31,3,1,20567.249561923592,20602.32910177534,20579.97051039596
32,3,2,20571.102508225114,20612.028638052154,20585.94361477621
33,3,3,20570.105483909836,20616.878203712167,20587.066748539663
34,3,4,20572.64868658837,20625.26799636599,20591.730109296925
35,3,5,20574.678168902345,20633.144068655256,20595.879749689626
36,3,6,20575.221626686223,20639.534116414427,20598.543365552232
37,3,7,20577.370198226312,20647.529277929807,20602.812095171048
38,3,8,20579.110830360994,20655.11650003978,20606.67288538446
39,3,9,20570.31310743135,20652.165367085425,20599.995320533544
40,4,0,20583.367290579143,20618.44683043089,20596.08823905151
41,4,1,20568.75571586791,20609.681845694948,20583.596822419004
42,4,2,20570.654153992575,20617.426873794906,20587.6154186224
43,4,3,20572.906902151666,20625.526211929286,20591.98832486022
